Running fetch_all.py...
[464/2102] 050112 OK
[465/2102] 050110 OK
[466/2102] 050109 OK
[467/2102] 050804 OK
[468/2102] 050802 OK
[469/2102] 050801 OK
[470/2102] 050803 OK
[471/2102] 050302 OK
[472/2102] 050310 OK
[473/2102] 050313 OK
[474/2102] 050303 OK
[475/2102] 050301 OK
[476/2102] 050304 OK
[477/2102] 050309 OK
[478/2102] 050305 OK
[479/2102] 050312 OK
[480/2102] 050314 OK
[481/2102] 050307 OK
[482/2102] 050308 OK
[483/2102] 050311 OK
[484/2102] 050410 OK
[485/2102] 050402 OK
[486/2102] 050403 OK
[487/2102] 050404 OK
[488/2102] 050405 OK
[489/2102] 050407 OK
[490/2102] 050414 OK
[491/2102] 050411 OK
[492/2102] 050413 OK
[493/2102] 050415 OK
[494/2102] 050409 OK
[495/2102] 050401 OK
[496/2102] 050408 OK
[497/2102] 050406 OK
[498/2102] 050412 OK
[499/2102] 050502 OK
[500/2102] 050503 OK
[501/2102] 050504 OK
[502/2102] 050506 OK
[503/2102] 050508 OK
[504/2102] 050510 OK
[505/2102] 050511 OK
[506/2102] 050512 OK
[507/2102] 050514 OK
[508/2102] 050513 OK
[509/2102] 050516 OK
[510/2102] 050517 OK
[511/2102] 050501 OK
[512/2102] 050529 OK
[513/2102] 050520 OK
[514/2102] 050532 OK
[515/2102] 050521 OK
[516/2102] 050522 OK
[517/2102] 050531 OK
[518/2102] 050524 OK
[519/2102] 050525 OK
[520/2102] 050605 OK
[521/2102] 050601 OK
[522/2102] 050604 OK
[523/2102] 050608 OK
[524/2102] 050611 OK
[525/2102] 050612 OK
[526/2102] 050615 OK
[527/2102] 050616 OK
[528/2102] 051002 OK
[529/2102] 051003 OK
[530/2102] 051004 OK
[531/2102] 051005 OK
[532/2102] 051006 OK
[533/2102] 051007 OK
[534/2102] 051001 OK
[535/2102] 051008 OK
[536/2102] 051009 OK
[537/2102] 051010 OK
[538/2102] 051102 OK
[539/2102] 051103 OK
[540/2102] 051110 OK
[541/2102] 051109 OK
[542/2102] 051111 OK
[543/2102] 051105 OK
[544/2102] 051101 OK
[545/2102] 051107 OK
[546/2102] 051104 OK
[547/2102] 051106 OK
[548/2102] 051108 OK
[549/2102] 050702 OK
[550/2102] 050703 OK
[551/2102] 050715 OK
[552/2102] 050704 OK
[553/2102] 050706 OK
[554/2102] 050707 OK
[555/2102] 050708 OK
[556/2102] 050709 OK
[557/2102] 050701 OK
[558/2102] 050710 OK
[559/2102] 050713 OK
[560/2102] 050714 OK
[561/2102] 050903 OK
[562/2102] 050904 OK
[563/2102] 050905 OK
[564/2102] 050906 OK
[565/2102] 050908 OK
[566/2102] 050907 OK
[567/2102] 050901 OK
[568/2102] 050902 OK
[569/2102] 060202 OK
[570/2102] 060201 OK
[571/2102] 060203 OK
[572/2102] 060205 OK
[573/2102] 060102 OK
[574/2102] 060101 OK
[575/2102] 060104 OK
[576/2102] 060103 OK
[577/2102] 060105 OK
[578/2102] 060106 OK
[579/2102] 060108 OK
[580/2102] 060107 OK
[581/2102] 060109 OK
[582/2102] 060110 OK
[583/2102] 060111 OK
[584/2102] 060112 OK
[585/2102] 060301 OK
[586/2102] 060303 OK
[587/2102] 060302 OK
[588/2102] 060304 OK
[589/2102] 060305 OK
