departamento,provincia,distrito,ubigeo,pct_nulos,votos_nulos,votos_emitidos,lider,votos_lider
ÁNCASH,YUNGAY,MATACOTO,021504,12.29,164,1334,KEIKO SOFIA FUJIMORI HIGUCHI,234
JUNÍN,TARMA,PALCAMAYO,110507,12.12,295,2433,KEIKO SOFIA FUJIMORI HIGUCHI,495
LA LIBERTAD,PATAZ,HUANCASPATA,120605,12.11,346,2856,ROBERTO HELBERT SANCHEZ PALOMINO,566
PIURA,PAITA,TAMARINDO,190506,11.81,388,3286,KEIKO SOFIA FUJIMORI HIGUCHI,427
ÁNCASH,PALLASCA,CABANA,021001,11.53,108,937,KEIKO SOFIA FUJIMORI HIGUCHI,99
AMAZONAS,LUYA,MARÍA,010411,11.52,66,573,ROBERTO HELBERT SANCHEZ PALOMINO,72
LA LIBERTAD,OTUZCO,OTUZCO,120401,11.47,2053,17902,ROBERTO HELBERT SANCHEZ PALOMINO,3061
CAJAMARCA,CAJAMARCA,COSPAN,060103,11.44,346,3025,ROBERTO HELBERT SANCHEZ PALOMINO,811
SAN MARTÍN,LAMAS,TABALOSOS,210313,11.42,964,8439,KEIKO SOFIA FUJIMORI HIGUCHI,1966
AMAZONAS,LUYA,COLCAMAR,010404,11.36,126,1109,KEIKO SOFIA FUJIMORI HIGUCHI,226
CAJAMARCA,SAN MARCOS,CHANCAY,061207,11.33,211,1863,ROBERTO HELBERT SANCHEZ PALOMINO,414
AMAZONAS,BONGARÁ,CHURUJA,010305,11.3,27,239,KEIKO SOFIA FUJIMORI HIGUCHI,63
ÁNCASH,CARHUAZ,SAN MIGUEL DE ACO,020408,11.28,204,1809,ROBERTO HELBERT SANCHEZ PALOMINO,337
LA LIBERTAD,JULCÁN,JULCÁN,121001,11.27,729,6466,ROBERTO HELBERT SANCHEZ PALOMINO,966
AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,010506,11.26,120,1066,KEIKO SOFIA FUJIMORI HIGUCHI,155
AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,010503,11.25,120,1067,ROBERTO HELBERT SANCHEZ PALOMINO,283
UCAYALI,PADRE ABAD,BOQUERÓN,250206,11.21,243,2167,ROBERTO HELBERT SANCHEZ PALOMINO,685
SAN MARTÍN,LAMAS,LAMAS,210301,11.17,1048,9385,KEIKO SOFIA FUJIMORI HIGUCHI,1763
ÁNCASH,SIHUAS,CASHAPAMPA,021408,11.16,138,1237,ROBERTO HELBERT SANCHEZ PALOMINO,323
ÁNCASH,YUNGAY,SHUPLUY,021507,11.1,158,1424,ROBERTO HELBERT SANCHEZ PALOMINO,266
SAN MARTÍN,PICOTA,SAN CRISTÓBAL,210906,11.06,99,895,ROBERTO HELBERT SANCHEZ PALOMINO,168
ÁNCASH,OCROS,SAN PEDRO,022009,11.03,15,136,KEIKO SOFIA FUJIMORI HIGUCHI,37
SAN MARTÍN,EL DORADO,SAN JOSÉ DE SISA,211001,10.82,993,9175,ROBERTO HELBERT SANCHEZ PALOMINO,1794
AMÉRICA,CHILE,VALPARAISO,921007,10.73,63,587,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,85
ÁNCASH,POMABAMBA,PAROBAMBA,021103,10.71,260,2427,ROBERTO HELBERT SANCHEZ PALOMINO,590
LIMA,HUAROCHIRÍ,HUAROCHIRÍ,140609,10.65,89,836,KEIKO SOFIA FUJIMORI HIGUCHI,141
ASIA,JAPÓN,OKINAWA,930704,10.64,5,47,KEIKO SOFIA FUJIMORI HIGUCHI,16
CUSCO,PARURO,PACCARITAMBO,071008,10.63,170,1599,ROBERTO HELBERT SANCHEZ PALOMINO,334
ÁNCASH,PALLASCA,TAUCA,021011,10.6,141,1330,KEIKO SOFIA FUJIMORI HIGUCHI,282
ÁNCASH,CARHUAZ,CARHUAZ,020401,10.57,935,8846,ROBERTO HELBERT SANCHEZ PALOMINO,1699
ÁNCASH,YUNGAY,YUNGAY,021501,10.56,1386,13119,ROBERTO HELBERT SANCHEZ PALOMINO,1918
LA LIBERTAD,SÁNCHEZ CARRIÓN,MARCABAL,120305,10.56,676,6402,ROBERTO HELBERT SANCHEZ PALOMINO,1589
LA LIBERTAD,SÁNCHEZ CARRIÓN,SARÍN,120307,10.48,469,4476,ROBERTO HELBERT SANCHEZ PALOMINO,1120
PIURA,SULLANA,LANCONES,190603,10.48,751,7169,KEIKO SOFIA FUJIMORI HIGUCHI,2716
ÁNCASH,YUNGAY,CASCAPARA,021502,10.43,102,978,KEIKO SOFIA FUJIMORI HIGUCHI,194
CAJAMARCA,CAJAMARCA,JESÚS,060106,10.42,924,8868,ROBERTO HELBERT SANCHEZ PALOMINO,2159
CUSCO,PARURO,CCAPI,071003,10.39,203,1953,PABLO ALFONSO LOPEZ CHAU NAVA,408
LA LIBERTAD,SÁNCHEZ CARRIÓN,SARTIMBAMBA,120308,10.39,512,4929,ROBERTO HELBERT SANCHEZ PALOMINO,1691
ÁNCASH,CARHUAZ,TINCO,020410,10.38,237,2284,KEIKO SOFIA FUJIMORI HIGUCHI,396
